timestamp,disch1,disch2,disch3
1984-12-30 00:00:00,227.7,41.0,499.9
1984-12-31 00:00:00,296.6,76.0,279.44
1985-01-01 00:00:00,296.6,76.0,400.93
1985-01-02 00:00:00,271.1,94.0,305.53
1985-01-03 00:00:00,278.7,98.0,342.35
1985-01-04 00:00:00,282.4,98.0,454.29
1985-01-05 00:00:00,136.1,70.0,411.68
1985-01-06 00:00:00,153.3,53.0,406.12
1985-01-07 00:00:00,610.8,96.0,471.78
1985-01-08 00:00:00,425.8,87.0,859.47
1985-01-09 00:00:00,224.9,130.0,388.67
1985-01-10 00:00:00,331.4,128.0,450.3
1985-01-11 00:00:00,343.5,125.0,447.51
1985-01-12 00:00:00,197.4,110.0,471.26
1985-01-13 00:00:00,194.8,108.0,302.83
1985-01-14 00:00:00,293.2,86.0,372.08
1985-01-15 00:00:00,294.6,83.0,367.31
1985-01-16 00:00:00,385.9,88.0,440.79
1985-01-17 00:00:00,344.7,61.0,524.61
1985-01-18 00:00:00,460.1,38.0,603.95
1985-01-19 00:00:00,388.8,47.0,666.55
1985-01-20 00:00:00,494.3,2.0,472.71
1985-01-21 00:00:00,1378.3,50.0,2117.44
1985-01-22 00:00:00,1877.2,49.0,2785.67
1985-01-23 00:00:00,1255.8,59.0,1813.61
1985-01-24 00:00:00,819.0,70.0,1402.19
1985-01-25 00:00:00,969.0,88.0,1140.24
1985-01-26 00:00:00,1493.7,37.0,2244.73
1985-01-27 00:00:00,1457.4,12.0,1884.16
1985-01-28 00:00:00,1067.0,50.0,1548.93
1985-01-29 00:00:00,937.5,70.0,1169.65
1985-01-30 00:00:00,1313.1,47.0,1069.65
1985-01-31 00:00:00,801.8,56.0,999.5
1985-02-01 00:00:00,928.6,41.0,1065.0
1985-02-02 00:00:00,681.8,5.0,1009.31
1985-02-03 00:00:00,808.9,0.0,826.91
1985-02-04 00:00:00,650.9,76.0,906.93
1985-02-05 00:00:00,857.9,71.0,738.41
1985-02-06 00:00:00,1352.7,78.0,1563.75
1985-02-07 00:00:00,956.2,86.0,1427.28
1985-02-08 00:00:00,924.6,123.0,1540.26
1985-02-09 00:00:00,1078.4,502.0,2494.49
1985-02-10 00:00:00,1409.2,285.0,2461.11
1985-02-11 00:00:00,1203.0,357.0,2227.44
1985-02-12 00:00:00,1205.0,767.0,2577.85
1985-02-13 00:00:00,1407.9,590.0,2761.38
1985-02-14 00:00:00,1537.0,392.0,2554.36
1985-02-15 00:00:00,1486.2,471.0,2417.87
1985-02-16 00:00:00,1401.3,907.0,3102.4
1985-02-17 00:00:00,1556.0,857.0,3251.15
1985-02-18 00:00:00,1421.9,701.0,3132.42
1985-02-19 00:00:00,1024.3,440.0,2095.76
1985-02-20 00:00:00,1241.0,337.0,1898.2
1985-02-21 00:00:00,905.5,278.0,1456.15
1985-02-22 00:00:00,1018.6,223.0,1464.66
1985-02-23 00:00:00,805.9,192.0,1412.11
1985-02-24 00:00:00,677.5,190.0,1060.5
1985-02-25 00:00:00,1097.1,123.0,1272.06
1985-02-26 00:00:00,960.1,173.0,1429.37
1985-02-27 00:00:00,708.1,123.0,1191.82
1985-02-28 00:00:00,594.9,169.0,964.41
1985-03-01 00:00:00,482.7,227.0,938.54
1985-03-02 00:00:00,332.9,256.0,976.56
1985-03-03 00:00:00,97.9,144.0,398.29
1985-03-04 00:00:00,450.6,166.0,577.13
1985-03-05 00:00:00,393.9,140.0,661.88
1985-03-06 00:00:00,531.9,135.0,654.84
1985-03-07 00:00:00,669.5,165.0,969.66
1985-03-08 00:00:00,579.7,123.0,889.63
1985-03-09 00:00:00,300.8,123.0,636.35
1985-03-10 00:00:00,201.7,123.0,416.53
1985-03-11 00:00:00,640.0,113.0,479.07
1985-03-12 00:00:00,712.1,86.0,975.29
1985-03-13 00:00:00,580.8,74.0,838.55
1985-03-14 00:00:00,323.3,81.0,591.86
1985-03-15 00:00:00,178.9,95.0,368.24
1985-03-16 00:00:00,185.3,40.0,276.91
1985-03-17 00:00:00,375.9,2.0,289.9
1985-03-18 00:00:00,487.5,73.0,597.64
1985-03-19 00:00:00,169.9,86.0,415.05
1985-03-20 00:00:00,450.9,86.0,425.38
1985-03-21 00:00:00,563.8,78.0,652.3
1985-03-22 00:00:00,597.3,82.0,763.16
1985-03-23 00:00:00,9.8,78.0,410.22
1985-03-24 00:00:00,0.0,31.0,123.76
1985-03-25 00:00:00,288.7,72.0,136.95
1985-03-26 00:00:00,352.4,84.0,317.46
1985-03-27 00:00:00,201.8,75.0,417.73
1985-03-28 00:00:00,337.5,64.0,292.29
1985-03-29 00:00:00,200.4,75.0,455.57
1985-03-30 00:00:00,122.8,68.0,244.11
1985-03-31 00:00:00,52.1,44.0,178.76
1985-04-01 00:00:00,162.3,69.0,230.84
1985-04-02 00:00:00,290.2,55.0,320.31
1985-04-03 00:00:00,54.9,77.0,246.66
1985-04-04 00:00:00,232.4,75.0,206.35
1985-04-05 00:00:00,312.9,18.0,424.62
1985-04-06 00:00:00,247.9,41.0,329.34
1985-04-07 00:00:00,141.8,6.0,313.02
1985-04-08 00:00:00,213.4,81.0,340.2
1985-04-09 00:00:00,289.2,122.0,580.04
1985-04-10 00:00:00,232.5,121.0,375.86
1985-04-11 00:00:00,226.8,121.0,486.1
1985-04-12 00:00:00,122.7,121.0,354.15
1985-04-13 00:00:00,101.8,121.0,270.01
1985-04-14 00:00:00,30.9,48.0,202.31
1985-04-15 00:00:00,156.8,103.0,220.96
1985-04-16 00:00:00,241.5,47.0,252.23
1985-04-17 00:00:00,294.7,76.0,376.99
1985-04-18 00:00:00,280.8,73.0,406.92
1985-04-19 00:00:00,271.5,73.0,365.64
1985-04-20 00:00:00,239.6,87.0,397.85
1985-04-21 00:00:00,330.8,1.0,325.23
1985-04-22 00:00:00,199.5,82.0,412.47
1985-04-23 00:00:00,128.4,120.0,262.98
1985-04-24 00:00:00,154.5,118.0,324.45
1985-04-25 00:00:00,78.6,21.0,285.37
1985-04-26 00:00:00,176.5,80.0,292.25
