use_case,model,evidence_status,horizon,horizon_unit,n,mae,rmse,mse,r2,persistence_rmse,rmse_improvement_percent,units,source
river-flow,LSTM,reported-causal-audit,t+1,day,2441,66.768,114.156,13031.528,0.7098,126.607,9.83,m3/s,"final Chapter 5 Table 1.4; aggregate values only"
river-flow,GRU,reported-causal-audit,t+1,day,2441,59.667,105.496,11129.425,0.7522,126.607,16.67,m3/s,"final Chapter 5 Table 1.4; aggregate values only"
river-flow,LSTM,reported-causal-audit,t+2,day,2441,95.362,161.862,26199.150,0.4182,177.412,8.76,m3/s,"final Chapter 5 Table 1.4; aggregate values only"
river-flow,GRU,reported-causal-audit,t+2,day,2441,94.073,159.521,25447.024,0.4349,177.412,10.08,m3/s,"final Chapter 5 Table 1.4; aggregate values only"
river-flow,LSTM,reported-causal-audit,t+3,day,2441,108.712,180.541,32594.931,0.2879,199.323,9.42,m3/s,"final Chapter 5 Table 1.4; aggregate values only"
river-flow,GRU,reported-causal-audit,t+3,day,2441,108.411,178.831,31980.669,0.3013,199.323,10.28,m3/s,"final Chapter 5 Table 1.4; aggregate values only"
smart-home-energy,"ARIMA(1,1,1)",reported-causal-audit,t+1,minute,838,0.1559,0.2301,0.0530,0.4592,0.2500,7.96,kW,"final Chapter 5 Table 1.5; aggregate values only"
smart-home-energy,Holt-Winters,reported-causal-audit,t+1,minute,838,0.1847,0.2554,0.0652,0.3339,0.2500,-2.16,kW,"final Chapter 5 Table 1.5; aggregate values only"
smart-home-energy,"ARIMA(1,1,1)",reported-causal-audit,t+2,minute,838,0.1938,0.2764,0.0764,0.2212,0.3181,13.11,kW,"final Chapter 5 Table 1.5; aggregate values only"
smart-home-energy,Holt-Winters,reported-causal-audit,t+2,minute,838,0.2417,0.3188,0.1016,-0.0359,0.3181,-0.22,kW,"final Chapter 5 Table 1.5; aggregate values only"
smart-home-energy,"ARIMA(1,1,1)",reported-causal-audit,t+3,minute,838,0.2106,0.2936,0.0862,0.1215,0.3475,15.51,kW,"final Chapter 5 Table 1.5; aggregate values only"
smart-home-energy,Holt-Winters,reported-causal-audit,t+3,minute,838,0.2741,0.3538,0.1252,-0.2757,0.3475,-1.81,kW,"final Chapter 5 Table 1.5; aggregate values only"
solar-power,XGBoost,reported-causal-audit,t+1,hour,154,524.51,967.04,935158.46,0.9283,1504.91,35.74,dataset-unit,"final Chapter 5 Table 1.6; aggregate values only"
solar-power,Prophet,reported-causal-audit,t+1,hour,154,581.08,1063.75,1131574.06,0.9133,1504.91,29.31,dataset-unit,"final Chapter 5 Table 1.6; aggregate values only"
solar-power,XGBoost,reported-causal-audit,t+2,hour,154,560.76,1042.61,1087026.80,0.9165,2584.08,59.65,dataset-unit,"final Chapter 5 Table 1.6; aggregate values only"
solar-power,Prophet,reported-causal-audit,t+2,hour,154,560.65,1033.09,1067266.02,0.9180,2584.08,60.02,dataset-unit,"final Chapter 5 Table 1.6; aggregate values only"
